133,98
(34,2)
(34,2)
(35,2)
(35,3)
(35,4)
(35,5)
(35,6)
(35,7)
(35,8)
(35,9)
(35,10)
(35,11)
(35,12)
(36,12)
(37,12)
(38,12)
(38,13)
(39,13)
(39,14)
(39,15)
(39,16)
(39,17)
(39,18)
(39,19)
(40,19)
(40,20)
(41,20)
(41,21)
(42,21)
(43,21)
(44,21)
(44,22)
(44,23)
(44,24)
(44,25)
(44,26)
(45,26)
(45,27)
(46,27)
(47,27)
(47,28)
(47,29)
(48,29)
(49,30)
(50,30)
(51,30)
(52,30)
(53,30)
(54,30)
(55,30)
(56,30)
(56,31)
(56,32)
(57,32)
(57,33)
(58,33)
(59,33)
(60,33)
(61,33)
(62,33)
(62,34)
(62,35)
(62,36)
(62,37)
(63,37)
(63,38)
(64,38)
(64,39)
(64,40)
(64,41)
(65,41)
(66,41)
(67,41)
(68,41)
(68,42)
(68,43)
(68,44)
(68,45)
(68,46)
(68,47)
(68,48)
(68,49)
(68,50)
(69,50)
(69,51)
(69,52)
(70,52)
(70,53)
(71,53)
(72,53)
(72,54)
(72,55)
(73,55)
(74,55)
(75,55)
(76,55)
(77,55)
(78,55)
(79,55)
(80,55)
(81,55)
(82,55)
(83,55)
(84,55)
(85,55)
(86,55)
(86,56)
(87,56)
(87,57)
(87,58)
(87,59)
(87,60)
(87,61)
(88,61)
(89,61)
(89,62)
(90,62)
(90,63)
(91,63)
(91,64)
(92,64)
(92,65)
(92,66)
(93,66)
(94,66)
(94,67)
(95,67)
(95,68)
(96,68)
(96,69)
(97,69)
(97,70)
(98,70)
(98,71)
(98,72)
(99,72)
(100,72)
(100,73)
(100,74)
(101,74)
(101,75)
(102,75)
(103,75)
(103,76)
(104,76)
(105,76)
(106,76)
(107,76)
(108,76)
(109,76)
(110,76)
(111,76)
(112,76)
(112,77)
(112,78)
(113,78)
(114,78)
(115,78)
(115,79)
(116,79)
(116,80)
(117,80)
(117,81)
(118,81)
(119,81)
(119,82)
(119,83)
(120,83)
(121,83)
(122,83)
(122,84)
(123,84)
(123,85)
(123,86)
(124,86)
(124,87)
(124,88)
(124,89)
(124,90)
(125,90)
(125,91)
(126,91)
(126,92)
(126,93)
(126,94)
(127,94)
(128,94)
(128,95)
(128,96)
(129,96)
(129,97)
(130,97)
(131,97)
(132,97)
133,98
(64,31)
(64,31)
(65,31)
(66,31)
(67,31)
(67,32)
(68,32)
(69,32)
(70,32)
(70,33)
(71,33)
(71,34)
(72,34)
(72,35)
(72,36)
(72,37)
(73,37)
(73,38)
(73,39)
(73,40)
(74,40)
