79,69
(66,33)
(66,33)
(67,34)
(68,35)
(69,36)
(70,37)
(71,38)
(72,39)
(73,40)
(74,41)
(75,42)
(76,43)
(77,44)
(78,45)
(79,46)
(79,47)
(79,48)
(79,49)
(79,50)
(79,51)
(79,52)
(79,53)
(79,54)
(79,55)
(79,56)
(79,57)
(79,58)
(79,59)
(79,60)
(78,61)
(77,61)
(76,61)
(75,61)
(74,61)
(73,61)
(72,61)
(71,61)
(70,62)
(69,63)
(69,64)
(69,65)
(69,66)
(69,67)
(69,68)
(69,69)
(69,70)
(69,71)
(69,72)
(69,73)
(69,74)
(69,75)
(69,76)
(69,77)
(69,78)
(69,79)
(69,80)
(69,81)
(69,82)
(69,83)
(70,84)
(71,84)
(72,84)
(73,83)
(74,82)
(75,81)
(76,80)
(77,79)
(78,78)
(79,77)
(79,76)
(79,75)
(79,74)
(79,73)
(79,72)
(79,71)
(79,70)
