80,49
(66,33)
(66,33)
(66,34)
(67,35)
(67,36)
(66,37)
(67,38)
(67,39)
(67,40)
(68,41)
(69,42)
(70,41)
(71,41)
(72,42)
(73,43)
(74,44)
(75,45)
(76,46)
(77,46)
(78,47)
(79,48)
77,78
(77,46)
(77,46)
(78,47)
(78,48)
(78,49)
(78,50)
(78,51)
(78,52)
(78,53)
(79,54)
(80,55)
(80,56)
(80,57)
(81,58)
(82,58)
(83,59)
(84,59)
(85,60)
(86,60)
(87,59)
(88,58)
(89,59)
(90,60)
(91,59)
(92,60)
(92,61)
(91,62)
(92,63)
(92,64)
(92,65)
(93,66)
(92,67)
(91,68)
(91,69)
(90,70)
(91,71)
(92,72)
(92,73)
(93,74)
(92,75)
(92,76)
(91,77)
(91,78)
(90,79)
(90,80)
(90,81)
(91,82)
(91,83)
(90,84)
(89,85)
(89,86)
(88,87)
(87,86)
(86,85)
(85,84)
(84,83)
(83,83)
(82,83)
(81,83)
(80,82)
(79,81)
(78,81)
(77,82)
(76,83)
(75,82)
(75,81)
(75,80)
(76,79)
