56,108
(66,68)
(66,68)
(66,69)
(66,70)
(65,71)
(65,72)
(65,73)
(65,74)
(65,75)
(65,76)
(65,77)
(65,78)
(65,79)
(65,80)
(65,81)
(64,82)
(64,83)
(64,84)
(63,85)
(63,86)
(63,87)
(63,88)
(63,89)
(62,90)
(62,91)
(62,92)
(63,93)
(63,94)
(63,95)
(63,96)
(63,97)
(63,98)
(62,99)
(61,100)
(60,101)
(59,102)
(58,103)
(58,104)
(57,105)
(56,106)
(56,107)
38,105
(45,65)
(45,65)
(45,66)
(45,67)
(44,68)
(43,69)
(42,70)
(41,71)
(40,72)
(39,73)
(40,74)
(39,75)
(39,76)
(40,77)
(39,78)
(40,79)
(39,80)
(40,81)
(41,82)
(40,83)
(39,84)
(40,85)
(39,86)
(40,87)
(39,88)
(40,89)
(39,90)
(40,91)
(41,92)
(40,93)
(40,94)
(40,95)
(39,96)
(38,97)
(38,98)
(38,99)
(38,100)
(38,101)
(38,102)
(38,103)
(38,104)
106,104
(12,41)
(12,41)
(13,42)
(13,43)
(14,44)
(15,45)
(16,46)
(17,46)
(18,47)
(19,47)
(20,46)
(21,46)
(22,47)
(23,48)
(24,49)
(25,50)
(26,51)
(27,51)
(28,52)
(29,53)
(30,54)
(31,55)
(32,56)
(33,57)
(34,58)
(35,59)
(36,60)
(37,61)
(38,62)
(39,63)
(40,64)
(41,65)
(42,66)
(43,67)
(44,68)
(45,69)
(46,70)
(47,71)
(48,72)
(49,73)
(50,74)
(51,75)
(52,76)
(53,77)
(54,78)
(55,79)
(56,79)
(57,80)
(58,81)
(59,82)
(60,83)
(61,84)
(62,85)
(63,86)
(64,87)
(65,88)
(66,89)
(67,90)
(68,91)
(69,91)
(70,92)
(71,93)
(72,94)
(73,95)
(74,96)
(75,97)
(76,97)
(77,98)
(78,99)
(79,100)
(80,101)
(81,102)
(82,103)
(83,103)
(84,104)
(85,105)
(86,105)
(87,105)
(88,105)
(89,104)
(90,103)
(91,103)
(92,103)
(93,103)
(94,103)
(95,104)
(96,104)
(97,104)
(98,103)
(99,104)
(100,104)
(101,104)
(102,104)
(103,103)
(104,104)
(105,104)
66,43
(59,1)
(59,1)
(60,2)
(61,3)
(62,4)
(63,5)
(64,6)
(64,7)
(64,8)
(64,9)
(65,10)
(65,11)
(65,12)
(65,13)
(65,14)
(65,15)
(65,16)
(65,17)
(66,18)
(65,19)
(65,20)
(65,21)
(65,22)
(66,23)
(66,24)
(67,25)
(68,26)
(67,27)
(67,28)
(67,29)
(67,30)
(67,31)
(67,32)
(67,33)
(67,34)
(66,35)
(65,35)
(64,36)
(65,37)
(66,38)
(67,39)
(66,40)
(66,41)
(66,42)
76,70
(20,70)
(20,70)
(21,70)
(22,70)
(23,69)
(24,70)
(25,69)
(26,69)
(27,69)
(28,69)
(29,69)
(30,69)
(31,69)
(32,69)
(33,69)
(34,69)
(35,69)
(36,69)
(37,69)
(38,70)
(39,69)
(40,69)
(41,69)
(42,69)
(43,69)
(44,69)
(45,69)
(46,69)
(47,70)
(48,70)
(49,69)
(50,69)
(51,69)
(52,69)
(53,69)
(54,70)
(55,69)
(56,70)
(57,70)
(58,70)
(59,70)
(60,70)
(61,69)
(62,70)
(63,70)
(64,70)
(65,70)
(66,70)
(67,70)
(68,70)
(69,70)
(70,70)
(71,69)
(72,70)
(73,70)
(74,70)
(75,70)
79,95
(68,35)
(68,35)
(69,36)
(69,37)
(70,38)
(71,39)
(72,40)
(73,41)
(74,42)
(74,43)
(73,44)
(74,45)
(74,46)
(75,47)
(76,48)
(76,49)
(77,50)
(77,51)
(78,52)
(78,53)
(79,54)
(79,55)
(79,56)
(79,57)
(79,58)
(79,59)
(80,60)
(79,61)
(79,62)
(78,63)
(78,64)
(78,65)
(78,66)
(79,67)
(79,68)
(79,69)
(79,70)
(79,71)
(79,72)
(79,73)
(79,74)
(79,75)
(79,76)
(79,77)
(79,78)
(80,79)
(80,80)
(80,81)
(80,82)
(80,83)
(81,84)
(80,85)
(79,86)
(80,87)
(79,88)
(79,89)
(79,90)
(80,91)
(80,92)
(79,93)
(79,94)
129,38
(42,68)
(42,68)
(43,67)
(44,66)
(45,65)
(46,64)
(47,63)
(48,62)
(49,61)
(50,60)
(51,59)
(52,58)
(53,57)
(54,56)
(55,55)
(56,54)
(57,53)
(58,52)
(59,51)
(60,50)
(61,49)
(62,48)
(63,48)
(64,47)
(65,46)
(66,45)
(67,44)
(68,43)
(69,42)
(70,41)
(71,41)
(72,41)
(73,41)
(74,40)
(75,40)
(76,39)
(77,38)
(78,38)
(79,38)
(80,38)
(81,38)
(82,38)
(83,38)
(84,37)
(85,37)
(86,37)
(87,37)
(88,38)
(89,38)
(90,38)
(91,38)
(92,39)
(93,39)
(94,39)
(95,39)
(96,39)
(97,38)
(98,37)
(99,37)
(100,37)
(101,37)
(102,37)
(103,36)
(104,37)
(105,37)
(106,37)
(107,37)
(108,37)
(109,37)
(110,37)
(111,37)
(112,38)
(113,38)
(114,38)
(115,38)
(116,38)
(117,38)
(118,38)
(119,37)
(120,37)
(121,37)
(122,37)
(123,38)
(124,38)
(125,37)
(126,37)
(127,38)
(128,37)
47,114
(129,63)
(129,63)
(128,63)
(127,64)
(126,65)
(125,66)
(124,67)
(123,67)
(122,68)
(122,69)
(121,70)
(120,71)
(119,72)
(118,73)
(117,74)
(116,75)
(115,76)
(114,77)
(113,78)
(112,79)
(111,80)
(110,81)
(109,82)
(108,83)
(107,84)
(106,85)
(105,86)
(104,87)
(103,88)
(102,89)
(101,90)
(100,91)
(100,92)
(99,93)
(98,94)
(97,95)
(96,96)
(95,96)
(94,97)
(93,98)
(92,98)
(91,99)
(90,100)
(89,100)
(88,100)
(87,101)
(86,102)
(85,102)
(84,102)
(83,103)
(82,104)
(81,104)
(80,105)
(79,106)
(78,105)
(77,105)
(76,106)
(75,107)
(74,107)
(73,108)
(72,109)
(71,110)
(70,111)
(69,111)
(68,112)
(67,113)
(66,114)
(65,114)
(64,114)
(63,114)
(62,114)
(61,114)
(60,114)
(59,114)
(58,113)
(57,114)
(56,114)
(55,114)
(54,115)
(53,116)
(52,115)
(51,114)
(50,113)
(49,114)
(48,114)
17,97
(21,88)
(21,88)
(20,89)
(19,90)
(18,91)
(17,92)
(17,93)
(17,94)
(17,95)
(17,96)
156,14
(77,77)
(77,77)
(78,76)
(79,75)
(80,74)
(81,73)
(82,73)
(83,72)
(84,71)
(85,70)
(86,69)
(87,68)
(87,67)
(87,66)
(88,65)
(89,64)
(90,63)
(91,62)
(92,61)
(93,60)
(94,60)
(95,59)
(96,59)
(97,58)
(98,58)
(99,57)
(100,56)
(101,55)
(102,54)
(103,53)
(104,53)
(105,52)
(106,51)
(107,52)
(108,51)
(109,50)
(110,49)
(111,48)
(112,47)
(113,46)
(114,45)
(115,44)
(116,43)
(117,42)
(118,41)
(119,40)
(120,39)
(121,38)
(122,37)
(123,37)
(124,36)
(125,35)
(126,34)
(127,33)
(128,32)
(129,32)
(130,33)
(131,33)
(132,32)
(133,32)
(134,31)
(135,31)
(136,30)
(137,29)
(138,28)
(139,28)
(140,27)
(141,26)
(142,25)
(143,24)
(144,23)
(145,22)
(146,21)
(147,20)
(148,19)
(149,18)
(150,17)
(151,16)
(152,15)
(153,14)
(154,14)
(155,14)
91,88
(144,94)
(144,94)
(143,93)
(142,92)
(141,92)
(140,92)
(139,92)
(138,92)
(137,92)
(136,93)
(135,93)
(134,93)
(133,93)
(132,93)
(131,92)
(130,92)
(129,91)
(128,91)
(127,90)
(126,90)
(125,90)
(124,90)
(123,90)
(122,90)
(121,90)
(120,90)
(119,91)
(118,91)
(117,91)
(116,91)
(115,91)
(114,91)
(113,91)
(112,91)
(111,90)
(110,90)
(109,90)
(108,91)
(107,91)
(106,91)
(105,90)
(104,89)
(103,89)
(102,89)
(101,89)
(100,88)
(99,87)
(98,88)
(97,87)
(96,88)
(95,88)
(94,88)
(93,88)
(92,88)
138,108
(52,84)
(52,84)
(53,85)
(54,85)
(55,86)
(56,86)
(57,87)
(58,88)
(59,89)
(60,89)
(61,90)
(62,91)
(63,92)
(64,93)
(65,94)
(66,95)
(67,96)
(68,97)
(69,98)
(70,97)
(71,97)
(72,98)
(73,98)
(74,99)
(75,100)
(76,101)
(77,102)
(78,102)
(79,103)
(80,104)
(81,104)
(82,105)
(83,106)
(84,106)
(85,106)
(86,106)
(87,106)
(88,106)
(89,106)
(90,106)
(91,106)
(92,106)
(93,107)
(94,107)
(95,107)
(96,107)
(97,106)
(98,106)
(99,106)
(100,107)
(101,107)
(102,107)
(103,108)
(104,108)
(105,108)
(106,108)
(107,108)
(108,108)
(109,108)
(110,108)
(111,108)
(112,108)
(113,108)
(114,108)
(115,108)
(116,107)
(117,107)
(118,107)
(119,107)
(120,108)
(121,108)
(122,108)
(123,107)
(124,108)
(125,108)
(126,108)
(127,109)
(128,109)
(129,109)
(130,109)
(131,109)
(132,108)
(133,108)
(134,108)
(135,107)
(136,108)
(137,108)
13,17
(27,101)
(27,101)
(26,100)
(25,99)
(24,98)
(23,97)
(23,96)
(23,95)
(22,94)
(22,93)
(22,92)
(22,91)
(22,90)
(22,89)
(22,88)
(22,87)
(23,86)
(23,85)
(23,84)
(23,83)
(23,82)
(23,81)
(23,80)
(23,79)
(23,78)
(23,77)
(24,76)
(25,75)
(25,74)
(24,73)
(23,72)
(23,71)
(22,70)
(22,69)
(22,68)
(22,67)
(22,66)
(22,65)
(21,64)
(20,63)
(20,62)
(20,61)
(20,60)
(20,59)
(20,58)
(20,57)
(20,56)
(20,55)
(20,54)
(19,53)
(18,52)
(18,51)
(17,50)
(17,49)
(16,48)
(16,47)
(16,46)
(16,45)
(16,44)
(16,43)
(16,42)
(16,41)
(16,40)
(15,39)
(14,38)
(14,37)
(14,36)
(14,35)
(14,34)
(14,33)
(14,32)
(14,31)
(14,30)
(14,29)
(14,28)
(13,27)
(14,26)
(13,25)
(13,24)
(13,23)
(13,22)
(13,21)
(13,20)
(13,19)
(13,18)
67,45
(130,94)
(130,94)
(129,93)
(128,92)
(127,92)
(126,91)
(125,90)
(124,89)
(124,88)
(123,87)
(122,86)
(121,85)
(120,84)
(119,83)
(118,82)
(117,81)
(116,80)
(115,79)
(114,79)
(113,78)
(112,78)
(111,77)
(110,76)
(109,75)
(108,74)
(107,73)
(106,73)
(105,72)
(104,71)
(103,70)
(102,69)
(101,68)
(100,67)
(99,66)
(98,66)
(97,65)
(96,64)
(95,64)
(94,63)
(93,62)
(92,61)
(91,61)
(90,60)
(89,59)
(88,58)
(87,58)
(86,57)
(85,57)
(84,56)
(83,55)
(82,55)
(81,54)
(80,53)
(80,52)
(79,51)
(78,50)
(77,49)
(76,48)
(75,47)
(74,46)
(73,45)
(72,45)
(71,45)
(70,45)
(69,46)
(68,45)
5,74
(101,88)
(101,88)
(100,87)
(99,86)
(98,86)
(97,86)
(96,85)
(95,85)
(94,84)
(93,83)
(92,82)
(91,81)
(90,80)
(89,79)
(88,79)
(87,79)
(86,78)
(85,78)
(84,77)
(83,77)
(82,77)
(81,77)
(80,78)
(79,78)
(78,78)
(77,78)
(76,78)
(75,78)
(74,77)
(73,77)
(72,77)
(71,77)
(70,77)
(69,77)
(68,77)
(67,77)
(66,76)
(65,76)
(64,76)
(63,76)
(62,76)
(61,76)
(60,75)
(59,75)
(58,75)
(57,75)
(56,75)
(55,74)
(54,74)
(53,74)
(52,74)
(51,74)
(50,74)
(49,74)
(48,74)
(47,73)
(46,73)
(45,73)
(44,73)
(43,73)
(42,73)
(41,73)
(40,73)
(39,73)
(38,72)
(37,72)
(36,72)
(35,73)
(34,73)
(33,73)
(32,73)
(31,73)
(30,73)
(29,73)
(28,73)
(27,73)
(26,73)
(25,73)
(24,73)
(23,72)
(22,72)
(21,72)
(20,72)
(19,72)
(18,72)
(17,73)
(16,73)
(15,73)
(14,74)
(13,74)
(12,73)
(11,73)
(10,74)
(9,74)
(8,74)
(7,74)
(6,74)
85,67
(28,7)
(28,7)
(29,8)
(30,9)
(31,10)
(32,11)
(32,12)
(33,13)
(34,14)
(35,15)
(36,16)
(37,17)
(38,18)
(39,19)
(39,20)
(40,21)
(41,22)
(42,23)
(43,23)
(44,22)
(45,23)
(46,24)
(47,25)
(48,26)
(49,27)
(50,28)
(51,29)
(52,30)
(51,31)
(51,32)
(52,33)
(53,34)
(54,35)
(55,36)
(56,37)
(57,38)
(58,39)
(59,40)
(60,41)
(61,42)
(61,43)
(62,44)
(63,45)
(64,46)
(65,47)
(66,48)
(67,49)
(68,50)
(69,51)
(70,52)
(71,53)
(72,54)
(73,55)
(74,56)
(75,57)
(76,58)
(77,59)
(78,60)
(79,61)
(80,62)
(81,62)
(82,63)
(83,64)
(84,65)
(85,66)
94,36
(2,92)
(2,92)
(3,91)
(4,90)
(4,89)
(5,88)
(6,88)
(7,87)
(8,86)
(9,85)
(10,84)
(11,84)
(12,83)
(13,82)
(14,82)
(15,81)
(16,80)
(17,79)
(18,78)
(19,77)
(20,76)
(21,75)
(22,74)
(22,73)
(23,72)
(24,71)
(24,70)
(25,69)
(26,68)
(27,67)
(28,66)
(29,65)
(30,65)
(31,64)
(32,63)
(33,62)
(34,61)
(35,60)
(36,59)
(37,58)
(38,58)
(39,57)
(40,56)
(41,55)
(42,54)
(43,55)
(44,54)
(45,53)
(46,52)
(47,51)
(48,50)
(49,50)
(50,49)
(51,48)
(52,47)
(52,46)
(53,45)
(54,44)
(55,43)
(56,42)
(57,41)
(58,41)
(59,41)
(60,41)
(61,41)
(62,42)
(63,42)
(64,41)
(65,41)
(66,41)
(67,41)
(68,41)
(69,41)
(70,40)
(71,40)
(72,40)
(73,40)
(74,40)
(75,40)
(76,39)
(77,38)
(78,38)
(79,38)
(80,38)
(81,38)
(82,38)
(83,38)
(84,37)
(85,36)
(86,36)
(87,35)
(88,35)
(89,35)
(90,35)
(91,36)
(92,36)
(93,35)
110,71
(132,100)
(132,100)
(131,99)
(130,98)
(129,97)
(128,96)
(127,95)
(126,94)
(125,94)
(124,93)
(123,92)
(123,91)
(122,90)
(121,89)
(121,88)
(121,87)
(120,86)
(119,85)
(119,84)
(118,83)
(117,82)
(116,81)
(115,80)
(114,79)
(113,78)
(114,77)
(113,76)
(112,75)
(111,74)
(110,73)
(110,72)
20,73
(49,100)
(49,100)
(48,99)
(47,99)
(46,98)
(45,97)
(44,97)
(43,96)
(42,95)
(41,94)
(40,93)
(39,93)
(38,92)
(37,91)
(37,90)
(36,89)
(36,88)
(35,87)
(34,86)
(33,85)
(32,84)
(31,83)
(30,82)
(29,82)
(28,81)
(28,80)
(27,79)
(26,78)
(25,77)
(24,76)
(23,77)
(22,77)
(21,76)
(21,75)
(20,74)
